Chain,Previous_Interactions,Sales_Price,Purchase_Price,Sales_Expense,Gender,Offer_ID,Market,Customer_ID,Brand,Channel,Preferred_Channel,Offer_Incentive_Sent_Via,Conversion,Profit,Competitor_Price
68,0,48300.0,35286.00197087915,1126.804297346194,Female,Offer1,East,24,Brand4,Phone,Online,Generic_App_Notification,0,11887.193731774654,46946.83709949819
68,0,48400.0,35514.06496259553,1154.8387952543833,Female,Offer2,South,25,Brand4,Online,Online,Generic_App_Notification,0,11731.09624215009,44584.73952832352
67,0,48200.0,35227.7404156211,1160.5584188057562,Female,Offer2,North,26,Brand1,Phone,In_Person,Generic_App_Notification,0,11811.701165573146,50087.96280920377
21,4,21300.0,16406.29591778176,4813.36730359521,Male,Offer2,South,27,Brand1,Online,Online,Generic_App_Notification,0,80.3367786230292,20803.56645114816
22,4,21100.0,16181.34781388018,4802.026560308868,Male,Offer1,South,28,Brand1,Online,Phone,Generic_App_Notification,0,116.62562581095152,20908.882716636836
69,0,48400.0,35456.600151358194,1138.1574322169547,Female,Offer2,West,29,Brand4,Online,Phone,Generic_App_Notification,0,11805.242416424851,51610.7353303284
67,4,48100.0,39736.6899827224,4812.382435562245,Female,Offer1,West,30,Brand4,In_Person,Online,Generic_App_Notification,1,3550.9275817153584,45259.515353757306
68,0,47900.0,35054.073168195704,1106.339385314127,Female,Offer2,East,31,Brand2,Phone,Online,Personalized_Email,0,11739.587446490168,55172.7113359722
20,4,21200.0,16364.221564250056,4771.608912443688,Male,Offer3,East,32,Brand2,Phone,In_Person,Generic_App_Notification,0,64.16952330625645,21632.490037993124
67,4,48100.0,39549.05767167844,4799.224990441962,Female,Offer1,West,33,Brand4,Online,Phone,Generic_App_Notification,1,3751.717337879596,44640.274633083565
21,4,20700.0,15838.671302686553,4803.734219072033,Male,Offer2,East,34,Brand1,In_Person,Phone,Generic_App_Notification,0,57.594478241416255,20731.99370167698
67,0,48500.0,35676.63378144285,1212.9428834727892,Female,Offer3,East,35,Brand1,In_Person,Online,Personalized_Email,0,11610.423335084362,47537.8191500924
20,4,20700.0,15810.956110625484,4786.171594934595,Male,Offer1,East,36,Brand2,Phone,Online,Personalized_Email,0,102.872294439921,20000.08142545404
20,4,20900.0,16032.164032111312,4776.961256822184,Male,Offer1,North,37,Brand4,In_Person,Online,Generic_App_Notification,0,90.87471106650446,23414.68244229679
67,0,48400.0,35550.947762464275,1150.4439077377767,Female,Offer3,North,38,Brand2,Phone,Phone,Personalized_Email,0,11698.608329797948,51329.67255571103
20,4,20900.0,15997.271887106444,4811.660617045116,Male,Offer1,West,39,Brand2,Phone,Online,Generic_App_Notification,0,91.06749584844148,19048.39338491808
20,4,21000.0,16093.722078828308,4797.642634950984,Male,Offer2,West,40,Brand3,Phone,In_Person,Generic_App_Notification,0,108.63528622070773,21538.235938014477
69,0,48000.0,34979.924524840906,1096.067478084722,Female,Offer1,North,41,Brand3,In_Person,In_Person,Personalized_Email,0,11924.007997074372,47226.92457722416
66,0,48300.0,35483.08499553985,1166.1904854988093,Female,Offer2,East,42,Brand3,Phone,Online,Generic_App_Notification,0,11650.72451896134,52998.16541263205
21,4,21000.0,16060.366126752782,4783.625021903759,Male,Offer1,South,43,Brand1,Phone,In_Person,Personalized_Email,0,156.0088513434548,20147.60688478419
20,4,20700.0,15823.320037428355,4916.045531269834,Male,Offer3,West,44,Brand4,Online,In_Person,Generic_App_Notification,0,-39.36556869818923,22572.532672344503
68,0,21800.0,12774.269083333173,4757.410021765726,Male,Offer1,West,45,Brand4,Phone,In_Person,Personalized_Email,1,4268.320894901101,20393.975759646193
21,4,20600.0,15786.797475871328,4807.692853684628,Male,Offer1,South,46,Brand4,Phone,In_Person,Generic_App_Notification,0,5.509670444043877,18998.450178631778
20,4,21200.0,16260.248640874444,4814.473936602673,Male,Offer1,South,47,Brand4,Online,In_Person,Generic_App_Notification,0,125.27742252288226,19010.29785757407
20,4,21400.0,16489.89765629177,4760.125144538694,Male,Offer2,South,48,Brand3,Online,Phone,Generic_App_Notification,0,149.9771991695352,21733.373005761037
67,0,48300.0,35321.5971478989,1196.850308884863,Female,Offer1,South,49,Brand1,In_Person,Online,Generic_App_Notification,0,11781.552543216236,49008.60642101719
20,4,21800.0,16880.901601921636,4887.499827069118,Male,Offer3,North,50,Brand1,Phone,In_Person,Generic_App_Notification,0,31.59857100924637,20189.15816597015
20,4,21300.0,16447.98654662693,4787.116944697416,Male,Offer3,South,51,Brand3,In_Person,Online,Generic_App_Notification,0,64.89650867565797,22319.258313689657
68,0,47600.0,34740.41382069191,1214.9328807071138,Female,Offer1,East,52,Brand1,In_Person,In_Person,Generic_App_Notification,0,11644.653298600975,48743.58961079952
21,4,21800.0,16885.071523967836,4833.10976485138,Male,Offer3,North,53,Brand3,Online,Phone,Generic_App_Notification,0,81.8187111807847,23321.892283505334
68,0,48300.0,35263.91708976793,1126.1091433684353,Female,Offer1,North,54,Brand4,In_Person,Phone,Generic_App_Notification,0,11909.973766863635,48473.09025403302
21,4,21700.0,16805.81605285728,4842.44219114789,Male,Offer2,East,55,Brand3,Phone,In_Person,Personalized_Email,0,51.74175599482896,21839.35716289522
68,4,48600.0,40198.35114990895,4813.678117148445,Female,Offer1,West,56,Brand4,Online,In_Person,Personalized_Email,1,3587.9707329426037,49015.78840006403
21,4,21000.0,16147.195272609511,4710.625584154324,Male,Offer2,North,57,Brand4,Phone,In_Person,Personalized_Email,0,142.17914323616378,23036.16053996966
21,4,21700.0,16810.572407117004,4825.906297151926,Male,Offer3,South,58,Brand2,Phone,Phone,Generic_App_Notification,0,63.521295731069586,20953.18655352848
67,0,48500.0,35688.10369122115,1202.0433165991003,Female,Offer2,West,59,Brand3,Online,Phone,Generic_App_Notification,0,11609.85299217975,52227.30494250096
21,4,21500.0,16571.896528553312,4855.2347859149795,Male,Offer2,East,60,Brand2,Phone,Online,Generic_App_Notification,0,72.86868553170825,22393.4959560051
20,4,21400.0,16520.01450572988,4775.37434169761,Male,Offer3,South,61,Brand3,Online,Phone,Generic_App_Notification,0,104.61115257251004,23297.81165353269
20,4,20400.0,15609.758015795003,4799.231488373864,Male,Offer2,East,62,Brand3,Phone,In_Person,Generic_App_Notification,0,-8.989504168866915,19802.349871331135
20,4,20900.0,16083.071133548803,4763.724770207405,Male,Offer2,East,63,Brand2,Online,Online,Generic_App_Notification,0,53.204096243790445,18001.067660765333
21,4,20800.0,15909.485239227324,4823.086878914397,Male,Offer2,South,64,Brand2,In_Person,Phone,Generic_App_Notification,0,67.42788185827885,21630.64711357641
20,4,21100.0,16198.738530155511,4779.93137718555,Male,Offer2,East,65,Brand3,Phone,Phone,Generic_App_Notification,0,121.33009265893816,21774.647620485095
68,0,47900.0,35079.06546427107,1161.4140805709292,Female,Offer3,North,66,Brand1,Online,In_Person,Generic_App_Notification,0,11659.520455158,48947.52504474
67,0,47900.0,35059.20765309825,1211.0049440182745,Female,Offer2,South,67,Brand4,Phone,Online,Personalized_Email,0,11629.787402883474,46885.61297580222
67,0,48800.0,35797.31506820363,1182.8673841954826,Female,Offer1,East,68,Brand2,Phone,Phone,Generic_App_Notification,0,11819.817547600882,46360.77070924368
20,4,20900.0,16135.662439556889,4730.942707271689,Male,Offer3,South,69,Brand4,Phone,Phone,Personalized_Email,0,33.394853171424074,19820.342016756764
21,4,21400.0,16534.55687500443,4835.458344472577,Male,Offer3,East,70,Brand1,Online,In_Person,Generic_App_Notification,0,29.984780522993788,23975.23214076429
22,4,21400.0,16483.9560551755,4765.787085663596,Male,Offer2,East,71,Brand1,In_Person,Online,Generic_App_Notification,0,150.25685916090515,20131.497036643148
67,0,48500.0,35600.34122805111,1145.401780338174,Female,Offer3,South,72,Brand1,In_Person,Online,Generic_App_Notification,0,11754.256991610717,50041.102732136525
20,4,21900.0,17010.118525597292,4764.403789526303,Male,Offer3,West,73,Brand2,In_Person,Online,Generic_App_Notification,0,125.47768487640496,23287.43371712615
21,4,20700.0,15788.876824935774,4860.842511222112,Male,Offer1,West,74,Brand1,Online,Online,Generic_App_Notification,0,50.28066384210979,21790.568565181053
67,0,21200.0,12331.94836481432,4763.718865045772,Male,Offer1,East,75,Brand2,In_Person,In_Person,Generic_App_Notification,1,4104.3327701399085,18109.84038273727
20,4,21500.0,16652.3201980394,4753.837327329629,Male,Offer3,South,76,Brand1,Online,Phone,Personalized_Email,0,93.84247463097016,20264.467231154547
67,0,48600.0,35680.64773551857,1112.4920785669965,Female,Offer2,West,77,Brand4,Phone,Phone,Generic_App_Notification,0,11806.860185914433,52518.20172599016
21,4,21800.0,16878.475392656503,4840.185162388638,Male,Offer3,South,78,Brand4,Phone,Online,Personalized_Email,0,81.33944495485594,20927.650283620107
19,4,20700.0,15843.310054252928,4855.1785246085965,Male,Offer2,South,79,Brand3,In_Person,Online,Generic_App_Notification,0,1.5114211384752707,22294.44918311075
68,0,48500.0,35520.5412443797,1215.5738672536595,Female,Offer2,North,80,Brand4,Online,Online,Personalized_Email,0,11763.884888366638,53015.903291862705
67,0,48300.0,35466.05400514496,1172.6083442107524,Female,Offer2,East,81,Brand3,Phone,Phone,Generic_App_Notification,0,11661.337650644284,47097.585201613496
68,0,48300.0,35362.51124140525,1169.8352346187958,Female,Offer2,North,82,Brand4,Online,Phone,Generic_App_Notification,0,11767.653523975954,55029.74391582682
68,0,48200.0,35225.21551646178,1123.4376521009333,Female,Offer1,North,83,Brand2,Online,Online,Generic_App_Notification,0,11851.346831437288,53125.580410847695
68,0,48000.0,35182.2146718587,1161.0032091160008,Female,Offer3,South,84,Brand4,Phone,In_Person,Generic_App_Notification,0,11656.782119025296,53674.71953985907
68,0,48200.0,35353.351830805244,1124.8999051175106,Female,Offer3,North,85,Brand3,Online,Phone,Generic_App_Notification,0,11721.748264077243,49576.56212561999
20,4,20700.0,15854.39975272477,4772.286927564726,Male,Offer2,West,86,Brand3,Phone,Phone,Generic_App_Notification,0,73.31331971050349,21038.051082065536
20,4,21400.0,16465.71062729995,4799.932876932667,Male,Offer2,West,87,Brand1,Phone,Online,Generic_App_Notification,0,134.3564957673816,22005.46727937123
20,4,21400.0,16538.7980974895,4802.525063385878,Male,Offer3,West,88,Brand2,Phone,In_Person,Personalized_Email,0,58.67683912462235,21747.92020632718
67,0,48100.0,35249.853581126,1230.6875920719835,Female,Offer1,West,89,Brand4,Online,Online,Personalized_Email,0,11619.458826802016,47219.44998917688
68,0,47900.0,35122.2083942131,1194.0876587287348,Female,Offer3,East,90,Brand1,Phone,Online,Generic_App_Notification,0,11583.703947058166,47196.88906028037
67,0,48800.0,35867.92350530152,1199.0949822626044,Female,Offer1,East,91,Brand4,Online,In_Person,Personalized_Email,0,11732.981512435874,49327.37683305314
21,4,21600.0,16664.044197189804,4810.908253849737,Male,Offer3,South,92,Brand4,Phone,In_Person,Generic_App_Notification,0,125.0475489604596,20681.33235381377
67,0,48600.0,35648.15982975975,1104.9776253478576,Female,Offer1,West,93,Brand1,Phone,In_Person,Generic_App_Notification,0,11846.86254489239,49745.68336185895
20,4,20900.0,16075.349838768008,4813.0606583797235,Male,Offer2,East,94,Brand1,In_Person,Phone,Personalized_Email,0,11.589502852268197,21788.16882439514
20,4,21300.0,16432.78521750564,4846.759399566869,Male,Offer3,South,95,Brand1,In_Person,Online,Generic_App_Notification,0,20.455382927490973,19567.961277712217
67,0,47400.0,34626.99752029817,1166.022756058408,Female,Offer2,South,96,Brand1,In_Person,Phone,Generic_App_Notification,0,11606.97972364342,49322.734439298445
68,0,48000.0,35122.98185721229,1169.7683135485322,Female,Offer2,West,97,Brand1,Online,In_Person,Personalized_Email,0,11707.24982923918,47556.188452564704
68,0,21000.0,12141.835570857043,4842.468179572075,Male,Offer1,North,98,Brand4,Online,Phone,Generic_App_Notification,1,4015.6962495708817,18314.459080296823
68,4,48600.0,40103.59757417992,4786.0503121510865,Female,Offer1,West,99,Brand1,Phone,In_Person,Generic_App_Notification,1,3710.352113668994,51065.629347175025
21,4,21900.0,16949.192920667363,4791.694045387812,Male,Offer2,North,100,Brand2,Phone,In_Person,Personalized_Email,0,159.11303394482502,21398.20662942641
21,4,21600.0,16665.79664275981,4775.005448675669,Male,Offer2,East,101,Brand3,Phone,Online,Personalized_Email,0,159.19790856451982,19608.63315717476
67,0,48500.0,35669.45957381149,1127.1301777585152,Female,Offer3,East,102,Brand1,Phone,Online,Generic_App_Notification,0,11703.410248429996,53426.772057432056
21,4,21400.0,16514.652689206687,4816.822464273711,Male,Offer2,South,103,Brand1,Online,Online,Generic_App_Notification,0,68.52484651960185,20373.141896862853
20,4,20900.0,16027.507128094045,4784.774664210858,Male,Offer1,South,104,Brand4,Phone,Phone,Generic_App_Notification,0,87.71820769509941,19203.117049698292
68,0,48000.0,35145.901196546576,1179.046109936194,Female,Offer2,South,105,Brand1,Phone,Online,Generic_App_Notification,0,11675.05269351723,51457.64330164481
68,0,48900.0,35911.028888809975,1174.1572988376984,Female,Offer1,South,106,Brand1,In_Person,In_Person,Generic_App_Notification,0,11814.813812352328,51132.25573569926
67,0,48500.0,35643.670949716994,1125.5349231809432,Female,Offer3,North,107,Brand1,Phone,Online,Generic_App_Notification,0,11730.794127102065,52382.91899734008
67,0,48100.0,35310.12823183216,1167.8569025389645,Female,Offer3,South,108,Brand4,Phone,Phone,Generic_App_Notification,0,11622.014865628877,48423.909350939495
68,0,48400.0,35471.83230869267,1155.77725878008,Female,Offer1,South,109,Brand1,Phone,Online,Generic_App_Notification,0,11772.390432527252,51825.91618985059
67,0,48200.0,35255.35074166034,1168.0902086609242,Female,Offer1,North,110,Brand3,Online,Online,Personalized_Email,0,11776.559049678735,51366.90625554734
67,0,48500.0,35620.868279532,1181.0726479670002,Female,Offer3,East,111,Brand4,In_Person,Online,Generic_App_Notification,0,11698.059072501,47547.45618416758
68,0,47900.0,35092.654710947,1180.300783594161,Female,Offer3,North,112,Brand3,Phone,Phone,Personalized_Email,0,11627.044505458842,54222.451036498736
21,4,21100.0,16232.926508768423,4826.782932039763,Male,Offer2,South,113,Brand4,Phone,In_Person,Generic_App_Notification,0,40.29055919181155,23188.415463783233
21,4,21700.0,16787.102872769676,4836.224836042314,Male,Offer2,South,114,Brand1,In_Person,In_Person,Generic_App_Notification,0,76.6722911880106,23041.848521882523
69,0,47000.0,34333.13391678146,1241.8662598376425,Female,Offer3,North,115,Brand3,Phone,In_Person,Personalized_Email,1,11424.999823380898,46409.168844183994
21,4,21700.0,16749.338867790702,4887.280811133902,Male,Offer2,South,116,Brand4,Online,Online,Generic_App_Notification,0,63.38032107539584,21122.166367406822
20,4,21200.0,16369.99593390441,4850.129055407552,Male,Offer2,North,117,Brand2,Phone,Online,Generic_App_Notification,0,-20.124989311962963,20125.111810527877
67,4,48700.0,40283.33954678912,4877.256941705148,Female,Offer1,West,118,Brand1,Online,Phone,Personalized_Email,1,3539.403511505735,49215.473079248375
20,4,21500.0,16551.78407204726,4770.411763065357,Male,Offer1,North,119,Brand4,Online,In_Person,Generic_App_Notification,0,177.8041648873832,19820.04088550061
67,0,48000.0,35233.770851765556,1271.3682369291844,Female,Offer3,North,120,Brand2,Phone,Online,Personalized_Email,1,11494.86091130526,46642.231681462195
21,4,21200.0,16306.900747043192,4853.348626002596,Male,Offer2,East,121,Brand4,In_Person,Online,Generic_App_Notification,0,39.75062695421093,23325.91041971007
20,4,21200.0,16333.3086776147,4696.370968423853,Male,Offer1,North,122,Brand2,Online,Online,Generic_App_Notification,0,170.32035396144784,23278.39667652222
67,0,21300.0,12401.503629716792,4769.461485818509,Male,Offer1,West,123,Brand1,In_Person,Phone,Generic_App_Notification,0,4129.0348844647,22357.55420728094
67,0,48200.0,35487.01205559047,1164.0801948123792,Female,Offer3,East,124,Brand3,Phone,In_Person,Generic_App_Notification,1,11548.907749597149,44678.55988612149
67,0,48200.0,35340.91769356125,1169.8440003889468,Female,Offer3,East,125,Brand2,Online,Phone,Personalized_Email,0,11689.238306049803,43077.24800779906
68,0,48000.0,35102.214312049386,1206.2017053679174,Female,Offer2,North,126,Brand4,Phone,In_Person,Personalized_Email,0,11691.583982582695,50651.96476495456
67,0,48300.0,35473.07367173971,1150.5918385366524,Female,Offer3,South,127,Brand1,In_Person,In_Person,Generic_App_Notification,0,11676.334489723631,52822.43010070016
67,0,48300.0,35431.352759177666,1139.312416528469,Female,Offer3,South,128,Brand2,Phone,Online,Generic_App_Notification,0,11729.334824293866,44978.248131465014
68,0,48700.0,35851.41600360811,1136.7874641673552,Female,Offer3,North,129,Brand4,Phone,Online,Personalized_Email,0,11711.796532224527,49870.555009638294
67,0,48000.0,35154.87709519178,1218.6100680839286,Female,Offer2,South,130,Brand4,Online,Online,Personalized_Email,0,11626.512836724289,45489.60178606954
22,4,21500.0,16487.13337490922,4954.95637007687,Male,Offer1,West,131,Brand4,Phone,Online,Generic_App_Notification,0,57.9102550139105,21047.729227639706
21,4,20600.0,15691.743196498272,4907.091207824185,Male,Offer1,North,132,Brand2,Phone,Online,Generic_App_Notification,0,1.165595677543024,21340.245111416534
20,4,21100.0,16246.22134054581,4824.85042969743,Male,Offer3,West,133,Brand2,Phone,In_Person,Personalized_Email,0,28.92822975676063,21710.712265899572
21,4,20900.0,15990.227098542338,4901.211363351755,Male,Offer1,West,134,Brand2,Online,Online,Generic_App_Notification,0,8.561538105906948,20766.96300021641
67,0,48100.0,35253.58211226618,1149.794838148125,Female,Offer2,South,135,Brand3,In_Person,Online,Generic_App_Notification,0,11696.623049585694,49466.357474104865
68,0,47800.0,34976.58382488893,1193.5713851084545,Female,Offer2,West,136,Brand2,In_Person,Phone,Personalized_Email,0,11629.84479000262,43529.10828004701
67,0,49200.0,36082.80465997081,1057.0373375063784,Female,Offer1,North,137,Brand2,Phone,Phone,Generic_App_Notification,0,12060.15800252281,46498.24099394766
68,0,47900.0,35019.038564267925,1192.5567561784896,Female,Offer2,South,138,Brand2,Online,In_Person,Generic_App_Notification,0,11688.404679553583,47443.11362867098
67,0,48100.0,35169.14162921328,1182.241072095471,Female,Offer2,North,139,Brand3,Phone,In_Person,Generic_App_Notification,0,11748.617298691252,52388.135308488294
66,0,48100.0,35342.01258086511,1160.3827382723384,Female,Offer3,North,140,Brand2,In_Person,Phone,Generic_App_Notification,0,11597.604680862554,51318.764191146525
20,4,21900.0,16956.43425220022,4807.321995918688,Male,Offer2,West,141,Brand4,Online,Phone,Generic_App_Notification,0,136.24375188109298,21835.895995118528
68,0,48000.0,35110.82025942831,1167.1679965207609,Female,Offer2,North,142,Brand2,In_Person,Online,Generic_App_Notification,0,11722.011744050931,54593.661581896886
68,0,48600.0,35635.91360465661,1089.8392222056443,Female,Offer2,North,143,Brand4,In_Person,Online,Generic_App_Notification,0,11874.247173137745,55942.928098532895
67,0,48200.0,35263.46330682514,1244.559034374902,Female,Offer1,North,144,Brand4,Online,In_Person,Generic_App_Notification,0,11691.977658799957,49926.9452666362
20,4,21400.0,16638.714541934107,4744.979639294939,Male,Offer3,North,145,Brand4,Online,Phone,Personalized_Email,0,16.30581877095392,20077.719600843513
68,0,48300.0,35369.81804702779,1226.8484811967626,Female,Offer1,West,146,Brand3,Phone,In_Person,Personalized_Email,0,11703.33347177545,54419.6645023823
67,0,21300.0,12430.788727873582,4776.733452409275,Male,Offer1,South,147,Brand3,Phone,Online,Generic_App_Notification,1,4092.477819717144,22431.721199829113
67,0,48500.0,35523.45594701175,1183.5972493587485,Female,Offer1,South,148,Brand3,In_Person,In_Person,Generic_App_Notification,0,11792.946803629498,43976.09108979111
20,4,21600.0,16687.712900092785,4817.433793126771,Male,Offer2,North,149,Brand2,Online,In_Person,Personalized_Email,0,94.85330678044376,22066.080184971357
19,4,20700.0,15846.02065261333,4783.83158345762,Male,Offer1,North,150,Brand4,Online,In_Person,Generic_App_Notification,0,70.14776392905424,21679.97800930369
20,4,21300.0,16440.76348233137,4856.058497587726,Male,Offer3,East,151,Brand3,Phone,Online,Generic_App_Notification,0,3.17802008090257,20076.157582676813
20,4,21400.0,16506.350625112616,4788.756376001824,Male,Offer3,North,152,Brand3,In_Person,In_Person,Personalized_Email,0,104.8929988855598,20290.83511938625
67,0,48300.0,35488.566808945034,1191.640239927841,Female,Offer3,East,153,Brand2,In_Person,Online,Personalized_Email,0,11619.792951127123,49970.94873591361
67,0,47800.0,35014.70575094518,1176.5483040479785,Female,Offer3,South,154,Brand3,Phone,Phone,Generic_App_Notification,0,11608.745945006844,48174.13736603581
67,0,48100.0,35309.67605361991,1150.7038059653446,Female,Offer3,North,155,Brand2,Online,In_Person,Generic_App_Notification,0,11639.620140414749,52104.96118453918
22,4,21200.0,16287.24704753479,4862.9993573895645,Male,Offer1,South,156,Brand1,Phone,In_Person,Generic_App_Notification,0,49.753595075644625,21339.361027815245
66,0,49200.0,36159.220848616445,1149.5473381898726,Female,Offer1,South,157,Brand3,Phone,Online,Generic_App_Notification,0,11891.231813193685,48857.80883526766
20,4,21700.0,16848.067341751037,4777.006937299704,Male,Offer3,West,158,Brand1,Phone,In_Person,Personalized_Email,0,74.9257209492589,20511.69682357979
21,4,21400.0,16500.266390594432,4835.708179487638,Male,Offer3,South,159,Brand2,Phone,Online,Generic_App_Notification,0,64.02542991793052,22122.032047089426
20,4,21700.0,16869.78087387027,4808.928407337864,Male,Offer3,East,160,Brand4,Online,In_Person,Generic_App_Notification,0,21.29071879186631,21374.382315748724
20,4,21000.0,16128.240919708784,4898.946083190764,Male,Offer3,East,161,Brand3,Phone,Phone,Generic_App_Notification,0,-27.187002899547224,20707.986213048986
68,0,48400.0,35527.03106071022,1168.6053563036853,Female,Offer2,West,162,Brand2,Online,Phone,Generic_App_Notification,0,11704.363582986092,49962.00163065489
66,0,48600.0,35656.08744576615,1139.556770357622,Female,Offer1,West,163,Brand4,Phone,Phone,Generic_App_Notification,0,11804.35578387623,52739.54625386165
21,4,21700.0,16826.905496861487,4844.064849710547,Male,Offer3,South,164,Brand4,In_Person,In_Person,Personalized_Email,1,29.029653427965968,22650.68042036292
67,0,47900.0,35104.00405572506,1143.627157987169,Female,Offer3,East,165,Brand1,Online,In_Person,Generic_App_Notification,0,11652.36878628777,51156.33508094813
67,0,47900.0,35021.63966998339,1172.6044136539151,Female,Offer1,East,166,Brand2,In_Person,Phone,Generic_App_Notification,0,11705.755916362692,48743.7811128079
21,4,21800.0,16849.44861996649,4849.649270847529,Male,Offer2,South,167,Brand4,Phone,Phone,Generic_App_Notification,0,100.90210918598132,19280.478363971244
19,4,21200.0,16312.734388939887,4753.724816952959,Male,Offer2,South,168,Brand3,Phone,Online,Generic_App_Notification,0,133.5407941071535,23113.115069358788
66,0,48200.0,35376.05622169342,1249.519375863298,Female,Offer3,South,169,Brand3,Phone,Online,Generic_App_Notification,1,11574.424402443285,46672.392202065465
20,4,21200.0,16289.46484974177,4774.538020113127,Male,Offer1,North,170,Brand1,Online,Phone,Generic_App_Notification,0,135.99713014510417,22800.726260935888
21,4,21500.0,16569.09589651182,4790.465021400361,Male,Offer2,East,171,Brand4,In_Person,Phone,Generic_App_Notification,0,140.43908208782022,22889.177801725626
67,0,48000.0,35246.78838710901,1233.366730763328,Female,Offer3,East,172,Brand2,Online,In_Person,Personalized_Email,0,11519.844882127663,51594.26743400542
22,4,21300.0,16421.048221685374,4854.998785319498,Male,Offer2,East,173,Brand3,Online,Phone,Generic_App_Notification,0,23.952992995124077,19610.319358496177
67,0,48700.0,35734.89339235354,1195.6223818737271,Female,Offer1,West,174,Brand4,Phone,Online,Generic_App_Notification,0,11769.484225772736,52742.52898733191
67,0,47500.0,34764.174385081315,1208.7456182531064,Female,Offer2,South,175,Brand4,In_Person,Online,Personalized_Email,0,11527.07999666558,47886.47696323948
68,0,47900.0,35034.6905575278,1136.3156394318632,Female,Offer1,East,176,Brand1,Phone,Online,Generic_App_Notification,0,11728.993803040335,51087.861769376286
20,4,22400.0,17499.276544025768,4830.371763441772,Male,Offer3,East,177,Brand3,Online,Online,Generic_App_Notification,0,70.35169253246022,25565.1132067071
